Klíč_adresy,Adresa_GPS,Poslední_kontrola,Příští_kontrola,Dní_do_kontroly,Stav_kontroly,Barva_bodu,Všechny_termíny,GPS_lat,GPS_lon,GPS_poznámka,Zdrojový_soubor,Zdrojový_řádek,Rok výroby,Serviska,Hlídáme sami termín,Hlavní kontakt,Kraj,Jaký zdroj,Umístění,DŮLEŽITÁ POZNÁMKA,Měsíc_1,Měsíc_2,Měsíc_3,Měsíc_4,Měsíc_5,Měsíc_6,Měsíc_7,Měsíc_8,Měsíc_9,Měsíc_10,Měsíc_11,Měsíc_12,Sloupec_21,Poznámky,Cena FZ,Faktura na,Protokol s fakturou na,Smlouva ano/ne,Sloupec_27,Sloupec_28,Sloupec_29,Sloupec_30,Sloupec_31,Sloupec_32,Sloupec_33,Sloupec_34,Sloupec_35,Sloupec_36,Sloupec_37,Sloupec_38,Sloupec_39,Sloupec_40,Sloupec_41,Sloupec_42,Sloupec_43,Sloupec_44,Sloupec_45,Sloupec_46,Sloupec_47,Sloupec_48,Sloupec_49,Sloupec_50,Sloupec_51,Sloupec_52,Sloupec_53,Sloupec_54,Sloupec_55,Sloupec_56,Sloupec_57,Sloupec_58,Sloupec_59,Sloupec_60,Sloupec_61,Sloupec_62,Sloupec_63,Sloupec_64,Sloupec_65,Sloupec_66,Sloupec_67,Sloupec_68,Sloupec_69,Sloupec_70,Sloupec_71,Sloupec_72,Sloupec_73,Sloupec_74,Sloupec_75,Sloupec_76,Sloupec_77,Sloupec_78,Sloupec_79,Sloupec_80,Sloupec_81,Sloupec_82,Sloupec_83,Sloupec_84,Sloupec_85,Sloupec_86,Sloupec_87,Sloupec_88,Sloupec_89,Sloupec_90,Sloupec_91,Sloupec_92,Sloupec_93,Sloupec_94,Počet_termínů,Kontakt,Umístění zdroje,Sloupec_8,Cena FZ v Kč,Protokol na
"borotín, dps, zámek borotín . 17, 71, 721, 893, česká republika","Borotín, DPS, ZÁMEK Borotín . 17, 71, 721, 893, Česká republika",2025-11-07,2026-05-07,3,Méně než 7 dnů,červená,2025-11-07 (proběhlá); 2026-05-07 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,11,2016,,,Duraj 734 235 926,Jihomoravský,PS 30/10 kVA/8kW/3F - 45 MINUT,"Borotín, DPS - ZÁMEK Borotín č.p. 17, 71, 721, 893",,,,,,7/26,,,,,,7/25,,,"2025-úprava vstupních svorek, byl volný modrý",13500,Za Sluncem z.s.,"Borotín, p.Duraj",nepodepsaná,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"boskovice, hybešova 2635, ah a dps, česká republika","Boskovice, Hybešova 2635, AH a DPS, Česká republika",2026-02-11,2026-08-11,99,Více než 60 dnů,zelená,2026-02-11 (proběhlá); 2026-08-11 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,12,2022,,,pouze pan Holý 734 283 457,Jihomoravský,ASTIP PS 40kVA/20kVA -3F -45 minut,"Boskovice, Hybešova 2635, AH a DPS",,,11/26,,,,,,11/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"boskovice, otakara kubína 8, 10, 12, česká republika","Boskovice, Otakara Kubína 8, 10, 12, Česká republika",2026-04-23,2026-04-23,-11,Po termínu,červená,2026-02-26 (plánovaná); 2026-04-23 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",9,2021,,,,Jihomoravský,3 x STRONG 2 000/3f -15 minut,,,,26/26-25 1 x stop stav,,23/26-1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Jarmila Janků, tel. 704327337, pověřený správce bytových domů ","Boskovice, Otakara Kubína 8,10,12",,,
"brandýs nad labem, palachova 337/1, sportovní hala, česká republika","Brandýs nad Labem, Palachova 337/1, sportovní hala, Česká republika",2026-04-29,2026-04-29,-5,Po termínu,červená,2026-04-29 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,13,2024,,,"Jakub Ševčík sevcik@ezh-as.cz / +420 776 060 715, školník Cestr 737 780 060",,ASTIP STRONG 140/75kVA/3F-15 minut,"Brandýs nad Labem, Palachova 337_1, sportovní hala",,,,,29/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"bratislava, františka kubu 2, 3, 5, 6 -rinok rača, slovensko","Bratislava, Františka Kubu 2, 3, 5, 6 -Rinok Rača, Slovensko",,2026-07-24,81,Více než 60 dnů,zelená,2026-07-24 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",10,2022,ano,ano,,Slovensko,"15kVA, 7,5kVA, 15kVA, 3kVA",,,,,,,,,24/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Kuzár +421 908 967 271,"Bratislava, Františka Kubu 2,3,5,6 -Rinok Rača",,,
"bratislava, hradná ulice 1, potraviny děvín, slovensko","Bratislava, Hradná ulice 1, potraviny Děvín, Slovensko",,2026-12-16,226,Více než 60 dnů,zelená,2026-12-16 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",11,2021,,,,Slovensko,STRONG 1000VA/1F-20 min,,,,,,,,,,,,,,16/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Klein +421 917 222 758,"Bratislava, Hradná ulice 1, potraviny Děvín",,,
"bratislava, ivánská cesta 32 a-f, ovocné sady, slovensko","Bratislava, Ivánská cesta 32 A-F, Ovocné sady, Slovensko",,2026-07-03,60,Více než 60 dnů,zelená,2026-07-03 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",12,,,,,Slovensko,6 x STRONG 30 kVA/3F-45 minut,,,,,,,,,3/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Štefánek +421 904 956 394,"Bratislava, Ivánská cesta 32 A-F, Ovocné sady",,,
"bratislava, ivánská cesta 32 g, ovocné sady, slovensko","Bratislava, Ivánská cesta 32 G, Ovocné sady, Slovensko",,2026-07-03,60,Více než 60 dnů,zelená,2026-07-03 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",13,2023,,,,Slovensko,ASTIP STRONG LiftBack 55kVA/30kVA/3F- 45M,,,,,,,,,3/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Štefánek +421 904 956 394,"Bratislava, Ivánská cesta 32 G, Ovocné sady",,,
"bratislava, ivánská cesta 32 h, ovocné sady, slovensko","Bratislava, Ivánská cesta 32 H, Ovocné sady, Slovensko",,2026-07-03,60,Více než 60 dnů,zelená,2026-07-03 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",14,2024,,,,Slovensko,ASTIP STRONG LiftBack 55kVA/30kVA/3F- 45M,,,,,,,,,3/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Štefánek +421 904 956 394,"Bratislava, Ivánská cesta 32 H, Ovocné sady",,,
"bratislava, ivánská cesta 32 i, ovocné sady, slovensko","Bratislava, Ivánská cesta 32 I, Ovocné sady, Slovensko",2025-06-19,2025-06-19,-319,Po termínu,červená,2025-06-19 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",15,2023,,,,Slovensko,ASTIP STRONG Liftback 30kVA/3F-45 minut,,,,,,,,19/25,,,,,,,,"19.6.2024 -reklamace bateriíí a, vystavujeme protokol za 0Kč, pak další platit !!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Behúň Elimer +421 918 514 360,"Bratislava, Ivánská cesta 32 I, Ovocné sady",,,
"bratislava, ivánská cesta 32 j+k, slovensko","Bratislava, Ivánská cesta 32 J+K, Slovensko",,2026-07-03,60,Více než 60 dnů,zelená,2026-07-03 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",16,2023 + 2024,,,,Slovensko,ASTIP STRONG Liftback 30kVA/3F-45 minut,,,,,,,,,3/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Štefánek +421 904 956 394,"Bratislava, Ivánská cesta 32 J+K",,,
"bratislava, kadnárova 103, 105, 107 + košická 54, slovensko","Bratislava, Kadnárova 103, 105, 107 + Košická 54, Slovensko",,2026-11-11,191,Více než 60 dnů,zelená,2026-11-11 (plánovaná); 2027-01-13 (plánovaná); 2027-03-17 (plánovaná); 2027-04-09 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",18,2018,ano,,,Slovensko,"3 x STRONG 7500/3f -30 minut, 2kva/1f-10minut",,,13/27-Košická 54,,17/27-103,9/27-107,,,,,,,11/26-1x stop stav 2025,,,,,,,ano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Andris -+421 918 706 973,"Bratislava, Kadnárova 103, 105, 107 + Košická 54",,600 Euro,
"bratislava, kominárská 4, při mýtě 1, slovensko","Bratislava, Kominárská 4, Při Mýtě 1, Slovensko",2023-10-24,2023-10-24,-923,Po termínu,červená,2023-10-24 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",19,2016,,,,Slovensko,PS 40kVA/3f-45 minut,,,,,,,,,,,,24/23,,,,2025 - posílám znovu dotaz - 20.6.2024 - poslíám aktualizace CN - 19.6.2024 -dotazováno mailem pana Folvarčíka,,Nectel,,není,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Folvarčík - +421 917 810 130,"Bratislava, Kominárská 4, Při Mýtě 1",,690 Euro,Nectel
"bratislava, muchovo náměstí 5, 6, slovensko","Bratislava, Muchovo náměstí 5, 6, Slovensko",2026-03-17,2026-03-17,-48,Po termínu,červená,2026-03-17 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",20,2025,,,,Slovensko,ASTIP STRONG 48kVA/10kVA/3F-30 minut,,,,,17/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bc. Benko Jakub +421 904 613 660,"Bratislava, Muchovo náměstí 5,6",,,
"bratislava, námestie při sypke 6, slovensko","Bratislava, Námestie při sypke 6, Slovensko",,2026-07-22,79,Více než 60 dnů,zelená,2026-07-22 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",17,2023,,,,Slovensko,ASTIP STRONG 3000VA/3F/24H/1C,,,,,,,,,22/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Lenka Vysinska 421 918 666 620,"Bratislava, Námestie při sypke 6",,,
"bratislava, pražská 7, ministerstvo, slovensko","Bratislava, Pražská 7, ministerstvo, Slovensko",,2027-04-09,340,Více než 60 dnů,zelená,2027-04-09 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",21,2015,,,,Slovensko,PS 15kVA/3f-1 hodina,,,,,,9/27,,,,,,,,,,Objednatel viz. Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Barborik, +421918660075","Bratislava, Pražská 7, ministerstvo",,,
"bratislava, račianska 26g, urban residnce, slovensko","Bratislava, Račianska 26G, Urban Residnce, Slovensko",2026-05-04,2026-05-04,0,Méně než 7 dnů,červená,2026-05-04 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",22,2021,,,,Slovensko,ASTIP STRONG 40kVA/3F-45 minut,,,,,,,4/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Gežíková, +421 901 771 796","Bratislava, Račianska 26G, Urban Residnce",,,
"bratislava, tomášikova, trnavská, po nido 2, objekt a+b, c, d, slovensko","Bratislava, Tomášikova, Trnavská, PO NIDO 2, objekt A+B, C, D, Slovensko",2025-10-21,2026-04-21,-13,Po termínu,červená,2025-10-21 (proběhlá); 2026-04-21 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,14,2022,ano,,"Tibor Šranko 0917 640 921
IURIS INVEST spol.s r.o.",Slovensko,"Astip Liftback 100kVA/3F -30, 45,60 min. + 2 x ELSTON DUO Exclusive","Bratislava, Tomášikova - Trnavská, PO NIDO 2, objekt A+B, C, D",,,,,21/26,,,,,,21/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"bratislava, trnavská cesta 8a, 6b, 19123, nová cvernovka, slovensko","Bratislava, Trnavská cesta 8a, 6b, 19123, Nová Cvernovka, Slovensko",,2026-07-24,81,Více než 60 dnů,zelená,2026-07-24 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",23,2022,ano,ano,,Slovensko,"2 x STRONG 15kVA, 1x STRONG 20kVA",,,,,,,,,24/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Kyjevský 0940 624 461,"Bratislava, Trnavská cesta 8a, 6b, 19123 - Nová Cvernovka",,,
"bratislava, trnavské mýto 1, optimal tfm, slovensko","Bratislava, Trnavské mýto 1, Optimal TFM, Slovensko",2026-04-22,2026-04-22,-12,Po termínu,červená,2026-04-22 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",24,2018,,,,Slovensko,"PS 40 kVA/3f, 45 min.",,,,,,22/26,,,,,,,,,,domluvená cena 480 Eur vs. 510 Eur ohledně objednání dalších FZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"SBS +421 910 501 834, Petr Bzdúch, +421901701902","Bratislava, Trnavské mýto 1, Optimal TFM",,,
"bratislava, vlčie hrdlo 70, novagastrade, slovensko","Bratislava, Vlčie Hrdlo 70, NOVAGASTRADE, Slovensko",2025-05-28,2025-05-28,-341,Po termínu,červená,2025-05-28 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",25,2016,,,,Slovensko,ASTIP STRONG 1000VA/3F/4C/1H,,,,,,,28/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Izák Miloš +421 907 719 377,"Bratislava, Vlčie Hrdlo  70, NOVAGASTRADE",,,
"bratislava, volvo, lamač-bory, slovensko","Bratislava, Volvo, Lamač-Bory, Slovensko",,2026-10-14,163,Více než 60 dnů,zelená,2026-10-14 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",26,2017,,ano,,Slovensko,"Strong 3000/3f, 30 min.",,,,,,,,,,,,14/26,,,,Objednatel viz. Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Nectel, Folvarčík +421917810130","Bratislava, Volvo, Lamač-Bory",,,
"brno, antonína procházky 590/2b, česká republika","Brno, Antonína Procházky 590/2b, Česká republika",,2027-02-23,295,Více než 60 dnů,zelená,2027-02-23 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",28,2024,,,,Jihomoravský,ASTIP STRONG 1000VA/1F-10 minut/EI45,,,,23/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mestická 604 211 462,"Brno, Antonína Procházky 590/2b",,,
"brno, blatnická 12, bytový dům, česká republika","Brno, Blatnická 12, bytový dům, Česká republika",,2027-03-30,330,Více než 60 dnů,zelená,2027-03-30 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",30,2022,,,,Jihomoravský,ASTIP STRONG Liftback 20kVA/10kVA/3F-45 minut,,,,,30/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Ledina 774 614 536,"Brno, Blatnická 12, bytový dům",,,
